propinsi,tahun,kelamin,jumlah
Aceh,2010,L,2255
Aceh,2010,P,2268.1
Aceh,2015,L,2497.5
Aceh,2015,P,2504.5
Aceh,2020,L,2728.2
Aceh,2020,P,2731.7
Aceh,2025,L,2933.3
Aceh,2025,P,2936.7
Aceh,2030,L,3110.3
Aceh,2030,P,3117.3
Aceh,2035,L,3264.2
Aceh,2035,P,3277.2
Sumatera Utara,2010,L,6494.6
Sumatera Utara,2010,P,6534.1
Sumatera Utara,2015,L,6954.6
Sumatera Utara,2015,P,6983.2
Sumatera Utara,2020,L,7335.8
Sumatera Utara,2020,P,7367.7
Sumatera Utara,2025,L,7632.4
Sumatera Utara,2025,P,7678.8
Sumatera Utara,2030,L,7847.6
Sumatera Utara,2030,P,7916.1
Sumatera Utara,2035,L,7990.3
Sumatera Utara,2035,P,8083.1
Sumatera Barat,2010,L,2409.2
Sumatera Barat,2010,P,2456.1
Sumatera Barat,2015,L,2584.2
Sumatera Barat,2015,P,2612.1
Sumatera Barat,2020,L,2741.6
Sumatera Barat,2020,P,2757.2
Sumatera Barat,2025,L,2874.4
Sumatera Barat,2025,P,2883.4
Sumatera Barat,2030,L,2981.1
Sumatera Barat,2030,P,2987.2
Sumatera Barat,2035,L,3062.6
Sumatera Barat,2035,P,3067.8
Riau,2010,L,2866.9
Riau,2010,P,2708
Riau,2015,L,3257.6
Riau,2015,P,3086.8
Riau,2020,L,3654
Riau,2020,P,3474.3
Riau,2025,L,4041.2
Riau,2025,P,3857.3
Riau,2030,L,4413.2
Riau,2030,P,4230.1
Riau,2035,L,4770.1
Riau,2035,P,4592.9
Jambi,2010,L,1586.1
Jambi,2010,P,1521.5
Jambi,2015,L,1736.1
Jambi,2015,P,1666
Jambi,2020,L,1875.8
Jambi,2020,P,1802.1
Jambi,2025,L,2000.7
Jambi,2025,P,1925.9
Jambi,2030,L,2107.7
Jambi,2030,P,2034.6
Jambi,2035,L,2196
Jambi,2035,P,2126.9
Sumatera Selatan,2010,L,3801.8
Sumatera Selatan,2010,P,3679.8
Sumatera Selatan,2015,L,4092.2
Sumatera Selatan,2015,P,3960.1
Sumatera Selatan,2020,L,4352.1
Sumatera Selatan,2020,P,4215.8
Sumatera Selatan,2025,L,4567.5
Sumatera Selatan,2025,P,4432.9
Sumatera Selatan,2030,L,4736.4
Sumatera Selatan,2030,P,4608.8
Sumatera Selatan,2035,L,4864.1
Sumatera Selatan,2035,P,4746.6
Bengkulu,2010,L,878.9
Bengkulu,2010,P,843.2
Bengkulu,2015,L,956.2
Bengkulu,2015,P,918.7
Bengkulu,2020,L,1028.8
Bengkulu,2020,P,991
Bengkulu,2025,L,1093.6
Bengkulu,2025,P,1056.9
Bengkulu,2030,L,1149.1
Bengkulu,2030,P,1115.2
Bengkulu,2035,L,1195.4
Bengkulu,2035,P,1165.2
Lampung,2010,L,3922.8
Lampung,2010,P,3711.2
Lampung,2015,L,4162.5
Lampung,2015,P,3954.8
Lampung,2020,L,4359.9
Lampung,2020,P,4161.3
Lampung,2025,L,4504.3
Lampung,2025,P,4320.3
Lampung,2030,L,4595.8
Lampung,2030,P,4430.4
Lampung,2035,L,4640
Lampung,2035,P,4496.1
Bangka Belitung,2010,L,637.5
Bangka Belitung,2010,P,592.7
Bangka Belitung,2015,L,713.2
Bangka Belitung,2015,P,659.6
Bangka Belitung,2020,L,789.7
Bangka Belitung,2020,P,727.9
Bangka Belitung,2025,L,863.3
Bangka Belitung,2025,P,794.2
Bangka Belitung,2030,L,932.1
Bangka Belitung,2030,P,856.8
Bangka Belitung,2035,L,995.8
Bangka Belitung,2035,P,915.2
Kepulauan Riau,2010,L,867.7
Kepulauan Riau,2010,P,825.1
Kepulauan Riau,2015,L,1007.9
Kepulauan Riau,2015,P,965.1
Kepulauan Riau,2020,L,1141.7
Kepulauan Riau,2020,P,1100.5
Kepulauan Riau,2025,L,1268
Kepulauan Riau,2025,P,1233.5
Kepulauan Riau,2030,L,1395.9
Kepulauan Riau,2030,P,1372.6
Kepulauan Riau,2035,L,1529.7
Kepulauan Riau,2035,P,1520.8
DKI Jakarta,2010,L,4879
DKI Jakarta,2010,P,4761.4
DKI Jakarta,2015,L,5115.3
DKI Jakarta,2015,P,5062.6
DKI Jakarta,2020,L,5324.8
DKI Jakarta,2020,P,5320.2
DKI Jakarta,2025,L,5504
DKI Jakarta,2025,P,5530
DKI Jakarta,2030,L,5629.6
DKI Jakarta,2030,P,5680.4
DKI Jakarta,2035,L,5690.2
DKI Jakarta,2035,P,5769.4
Jawa Barat,2010,L,21955.3
Jawa Barat,2010,P,21271.8
Jawa Barat,2015,L,23681
Jawa Barat,2015,P,23028.6
Jawa Barat,2020,L,25265.2
Jawa Barat,2020,P,24670.5
Jawa Barat,2025,L,26645.5
Jawa Barat,2025,P,26140.2
Jawa Barat,2030,L,27789.5
Jawa Barat,2030,P,27404.3
Jawa Barat,2035,L,28688.9
Jawa Barat,2035,P,28448.4
Jawa Tengah,2010,L,16091.6
Jawa Tengah,2010,P,16352.3
Jawa Tengah,2015,L,16750.9
Jawa Tengah,2015,P,17023.2
Jawa Tengah,2020,L,17320.1
Jawa Tengah,2020,P,17620
